group,filing_status,journey,n
OLS,Joint,D > A > A > D > K > D,2
OLS,Joint,D > A > H > C > J > G > H > B > J > G,2
OLS,Joint,D > C > I > N > L > O > A,5
OLS,Joint,D > D > K > K > N > B > D,3
OLS,Joint,D > E > B > F > G > C > E,4
OLS,Joint,D > H > C > M > F,1
OLS,Joint,D > I > G > M > O > A > F > B,4
OLS,Joint,D > J > C,1
OLS,Joint,D > L > D > G > L,3
OLS,Joint,D > L > H > F > L > H > A > G > C,5
OLS,Joint,E > A > L,4
OLS,Joint,E > B > N,7
OLS,Joint,E > C > C > E > C > J,5
OLS,Joint,E > E > F > I > C > M > O,5
OLS,Joint,E > E > N,1
OLS,Joint,E > F > K > H > F > I > H > C,3
OLS,Joint,E > J > L > E > G > I > L > F,2
OLS,Joint,E > N > C > O > N > G > O > I > M,2
OLS,Joint,F > C > J > O > D > J > L > L > N > N,2
OLS,Joint,F > F > N > F > K > E > B,2
OLS,Joint,F > K > B > N,4
OLS,Joint,G > I > O > L > N > H > E,7
OLS,Joint,G > N > G > J > N > I,3
OLS,Joint,H > B > I > L > K > K > J > M > I,4
OLS,Joint,H > C > H > K,4
OLS,Joint,H > E > B > E > I > E > B > A > O > N,7
OLS,Joint,H > I > D > E > C > M > B,4
OLS,Joint,H > I > E > J > I,7
OLS,Joint,H > K > E,2
OLS,Joint,H > O > A > B > B,3
OLS,Joint,I > B > J > J > G > N > O > G > D > F,3
OLS,Joint,I > D > B > B > B > E > F > I,2
OLS,Joint,I > D > M,3
OLS,Joint,I > F > D > F > B > B > N > J > A,4
OLS,Joint,I > G > H > I > B > E > F > K > A,1
OLS,Joint,I > M > I > A > H > D > B,2
OLS,Joint,J > C > B > E,1
OLS,Joint,J > C > C > C > N > A,8
OLS,Joint,J > H > O > L > B > I > L > K,2
OLS,Joint,J > I > J > B,5
OLS,Joint,J > K > B > H,2
OLS,Joint,J > L > A > A > O > O > L,7
OLS,Joint,K > B > B > E > M > E > H > B > I > L,3
OLS,Joint,K > B > G > M,1
OLS,Joint,K > C > D > F > F > L > G > K > A > G,4
OLS,Joint,K > D > O,4
OLS,Joint,K > E > E > E > N,4
OLS,Joint,K > F > F > G > O > A > F > F,6
OLS,Joint,K > I > J > O > N > F > K > H > F > H,2
OLS,Joint,K > M > G > N > D > N > N > N,6
OLS,Joint,L > B > D > B > N,2
OLS,Joint,L > D > D > I > C > C > O > O,4
OLS,Joint,L > F > D > B > M > F > K > G > J > E,3
OLS,Joint,L > G > N > L > C > A > A > B > H,9
OLS,Joint,L > J > N > L,2
OLS,Joint,M > A > O > I > I > N > D,3
OLS,Joint,M > H > H > H > O > A > I > L > B > C,1
OLS,Joint,M > J > E > N > L > H,4
OLS,Joint,M > J > N > M > E > C > B,2
OLS,Joint,M > K > D > A > O,1
OLS,Joint,M > L > B > C > E > E > L > D > C,5
OLS,Joint,N > C > F,9
OLS,Joint,N > G > E > E > E > C > I > K,2
OLS,Joint,N > G > F,4
OLS,Joint,N > K > H > O,4
OLS,Joint,N > L > A,1
OLS,Joint,N > M > D > J > N > C > L,5
OLS,Joint,N > M > K > L > K,5
OLS,Joint,N > N > E > O > E > D,9
OLS,Joint,N > O > B > D > I > D > A > O > B > A,4
OLS,Joint,O > C > M > J > I > I > L > K > B > A,2
OLS,Joint,O > G > M > D > O,5
OLS,Joint,O > J > A > K > L > H > K,6
OLS,Joint,O > K > B > J > M,3
OLS,Joint,O > O > M > O,3
OLS,Married/Separate,A > A > E > L > E > C > B > M > C > O,1
OLS,Married/Separate,A > A > J > I > O > G,2
OLS,Married/Separate,A > L > G > L > J > J > H,1
OLS,Married/Separate,A > M > E > N > L,1
OLS,Married/Separate,A > M > H > I > C > B > N,2
OLS,Married/Separate,B > B > C > C > N > J > F > I,1
OLS,Married/Separate,B > C > D > C,4
OLS,Married/Separate,B > H > L > A > K > K > F,2
OLS,Married/Separate,B > H > M > A > G > O > M > F > C,1
OLS,Married/Separate,B > K > L > K > H,1
OLS,Married/Separate,B > O > F > H > D > A > F,1
OLS,Married/Separate,C > F > L > B > E > A > N > F > J,1
OLS,Married/Separate,C > J > J > A > A > I > K,3
OLS,Married/Separate,C > K > C > M > H,1
OLS,Married/Separate,C > K > D > D > G,2
OLS,Married/Separate,D > C > I > N > L > O > A,2
OLS,Married/Separate,D > D > K > K > N > B > D,1
OLS,Married/Separate,D > I > G > M > O > A > F > B,1
OLS,Married/Separate,D > L > H > F > L > H > A > G > C,1
OLS,Married/Separate,E > A > L,2
OLS,Married/Separate,E > B > N,2
OLS,Married/Separate,E > C > C > E > C > J,2
OLS,Married/Separate,E > E > F > I > C > M > O,2
OLS,Married/Separate,E > F > K > H > F > I > H > C,2
OLS,Married/Separate,E > J > L > E > G > I > L > F,2
OLS,Married/Separate,F > C > J > O > D > J > L > L > N > N,1
OLS,Married/Separate,F > F > N > F > K > E > B,1
OLS,Married/Separate,G > D > F > F > N > M,1
OLS,Married/Separate,G > N > G > J > N > I,6
OLS,Married/Separate,H > B > I > L > K > K > J > M > I,1
OLS,Married/Separate,H > C > H > K,3
OLS,Married/Separate,H > I > E > J > I,2
OLS,Married/Separate,H > K > E,1
OLS,Married/Separate,H > O > A > B > B,1
OLS,Married/Separate,I > B > J > J > G > N > O > G > D > F,2
OLS,Married/Separate,I > D > K > J > C,1
OLS,Married/Separate,I > D > M,1
OLS,Married/Separate,I > M > I > A > H > D > B,1
OLS,Married/Separate,J > C > B > E,1
OLS,Married/Separate,J > H > O > L > B > I > L > K,1
OLS,Married/Separate,J > L > A > A > O > O > L,1
OLS,Married/Separate,K > B > B > E > M > E > H > B > I > L,3
OLS,Married/Separate,K > B > G > M,3
OLS,Married/Separate,K > C > D > F > F > L > G > K > A > G,1
OLS,Married/Separate,K > E > E > E > N,1
OLS,Married/Separate,K > F > F > G > O > A > F > F,3
OLS,Married/Separate,K > M > G > N > D > N > N > N,1
OLS,Married/Separate,L > B > D > B > N,1
OLS,Married/Separate,L > D > D > I > C > C > O > O,1
OLS,Married/Separate,L > F > D > B > M > F > K > G > J > E,1
OLS,Married/Separate,L > J > N > L,1
OLS,Married/Separate,M > A > O > I > I > N > D,1
OLS,Married/Separate,M > H > H > H > O > A > I > L > B > C,2
OLS,Married/Separate,M > J > E > N > L > H,1
OLS,Married/Separate,M > J > N > M > E > C > B,1
OLS,Married/Separate,M > K > D > A > O,1
OLS,Married/Separate,M > L > B > C > E > E > L > D > C,1
OLS,Married/Separate,N > C > F,2
OLS,Married/Separate,N > G > E > E > E > C > I > K,1
OLS,Married/Separate,N > G > F,2
OLS,Married/Separate,N > K > H > O,1
OLS,Married/Separate,N > L > A,1
OLS,Married/Separate,N > M > K > L > K,1
OLS,Married/Separate,N > N > E > O > E > D,2
OLS,Married/Separate,O > G > M > D > O,1
OLS,Married/Separate,O > J > A > K > L > H > K,3
OLS,Married/Separate,O > K > B > J > M,2
OLS,Single,A > A > E > L > E > C > B > M > C > O,8
OLS,Single,A > A > J > I > O > G,4
OLS,Single,A > L > B,17
OLS,Single,A > L > G > L > J > J > H,8
OLS,Single,A > M > E > N > L,7
OLS,Single,A > M > H > I > C > B > N,10
OLS,Single,B > B > C > C > N > J > F > I,13
OLS,Single,B > C > D > C,10
OLS,Single,B > C > O > F > K > A > F,7
OLS,Single,B > H > L > A > K > K > F,10
OLS,Single,B > H > M > A > G > O > M > F > C,6
OLS,Single,B > K > L > K > H,5
OLS,Single,B > O > F > H > D > A > F,4
OLS,Single,C > F > L > B > E > A > N > F > J,11
OLS,Single,C > J > A > E > K > A > J,9
OLS,Single,C > J > J > A > A > I > K,8
OLS,Single,C > J > K > M > A > M > A,7
OLS,Single,C > K > C > M > H,6
OLS,Single,C > K > D > D > G,6
OLS,Single,C > L > G > I > D > M > A > H,4
OLS,Single,C > N > M,8
OLS,Single,D > A > A > D > K > D,13
OLS,Single,D > A > H > C > J > G > H > B > J > G,12
OLS,Single,D > C > I > N > L > O > A,6
OLS,Single,D > D > K > K > N > B > D,8
OLS,Single,D > E > B > F > G > C > E,6
OLS,Single,D > H > C > M > F,6
OLS,Single,D > I > G > M > O > A > F > B,7
OLS,Single,D > J > C,7
OLS,Single,D > L > D > G > L,10
OLS,Single,D > L > H > F > L > H > A > G > C,9
OLS,Single,E > A > L,7
OLS,Single,E > B > N,6
OLS,Single,E > C > C > E > C > J,8
OLS,Single,E > E > F > I > C > M > O,10
OLS,Single,E > E > N,6
OLS,Single,E > F > K > H > F > I > H > C,17
OLS,Single,E > J > L > E > G > I > L > F,6
OLS,Single,E > N > C > O > N > G > O > I > M,5
OLS,Single,F > C > J > O > D > J > L > L > N > N,6
OLS,Single,F > F > N > F > K > E > B,13
OLS,Single,F > K > B > N,5
OLS,Single,G > D > F > F > N > M,9
OLS,Single,G > I > O > L > N > H > E,5
OLS,Single,G > N > G > J > N > I,9
OLS,Single,H > B > I > L > K > K > J > M > I,6
OLS,Single,H > C > H > K,10
OLS,Single,H > E > B > E > I > E > B > A > O > N,3
OLS,Single,H > I > D > E > C > M > B,4
OLS,Single,H > I > E > J > I,7
OLS,Single,H > K > E,7
OLS,Single,H > O > A > B > B,6
OLS,Single,I > B > J > J > G > N > O > G > D > F,9
OLS,Single,I > D > B > B > B > E > F > I,9
OLS,Single,I > D > K > J > C,8
OLS,Single,I > D > M,10
OLS,Single,I > F > D > F > B > B > N > J > A,5
OLS,Single,I > G > H > I > B > E > F > K > A,5
OLS,Single,I > M > I > A > H > D > B,8
OLS,Single,J > C > B > E,14
OLS,Single,J > C > C > C > N > A,4
OLS,Single,J > H > O > L > B > I > L > K,7
OLS,Single,J > I > J > B,13
OLS,Single,J > K > B > H,10
OLS,Single,J > L > A > A > O > O > L,6
OLS,Single,K > B > B > E > M > E > H > B > I > L,8
OLS,Single,K > B > G > M,11
OLS,Single,K > C > D > F > F > L > G > K > A > G,10
OLS,Single,K > D > O,7
OLS,Single,K > E > E > E > N,11
OLS,Single,K > F > F > G > O > A > F > F,5
OLS,Single,K > I > J > O > N > F > K > H > F > H,12
OLS,Single,K > M > D > O > D > K > G > G,6
OLS,Single,K > M > G > N > D > N > N > N,9
OLS,Single,L > B > D > B > N,5
OLS,Single,L > D > D > I > C > C > O > O,10
OLS,Single,L > F > D > B > M > F > K > G > J > E,11
OLS,Single,L > G > N > L > C > A > A > B > H,5
OLS,Single,L > J > N > L,10
OLS,Single,L > L > L > G > E,8
OLS,Single,M > A > O > I > I > N > D,5
OLS,Single,M > H > H > H > O > A > I > L > B > C,12
OLS,Single,M > J > E > N > L > H,10
OLS,Single,M > J > N > M > E > C > B,11
OLS,Single,M > K > D > A > O,10
OLS,Single,M > L > B > C > E > E > L > D > C,10
OLS,Single,N > C > F,6
OLS,Single,N > G > E > E > E > C > I > K,2
OLS,Single,N > G > F,6
OLS,Single,N > K > H > O,11
OLS,Single,N > L > A,10
OLS,Single,N > M > D > J > N > C > L,4
OLS,Single,N > M > K > L > K,6
OLS,Single,N > N > E > O > E > D,8
OLS,Single,N > O > B > D > I > D > A > O > B > A,7
OLS,Single,O > C > M > J > I > I > L > K > B > A,6
OLS,Single,O > G > M > D > O,5
OLS,Single,O > J > A > K > L > H > K,10
OLS,Single,O > K > B > J > M,7
OLS,Single,O > O > M > O,5
OLS,Window(ed),A > A > E > L > E > C > B > M > C > O,1
OLS,Window(ed),A > A > J > I > O > G,1
OLS,Window(ed),A > L > B,2
OLS,Window(ed),A > L > G > L > J > J > H,2
OLS,Window(ed),A > M > E > N > L,2
OLS,Window(ed),B > B > C > C > N > J > F > I,1
OLS,Window(ed),B > C > D > C,2
OLS,Window(ed),B > C > O > F > K > A > F,2
OLS,Window(ed),B > K > L > K > H,1
OLS,Window(ed),C > F > L > B > E > A > N > F > J,2
OLS,Window(ed),C > J > A > E > K > A > J,1
OLS,Window(ed),C > J > J > A > A > I > K,3
OLS,Window(ed),C > K > C > M > H,1
OLS,Window(ed),C > K > D > D > G,2
OLS,Window(ed),C > L > G > I > D > M > A > H,1
OLS,Window(ed),D > A > H > C > J > G > H > B > J > G,1
OLS,Window(ed),D > D > K > K > N > B > D,1
OLS,Window(ed),D > E > B > F > G > C > E,1
OLS,Window(ed),D > H > C > M > F,2
OLS,Window(ed),D > I > G > M > O > A > F > B,1
OLS,Window(ed),D > L > D > G > L,1
OLS,Window(ed),D > L > H > F > L > H > A > G > C,2
OLS,Window(ed),E > B > N,1
OLS,Window(ed),E > C > C > E > C > J,1
OLS,Window(ed),E > E > F > I > C > M > O,1
OLS,Window(ed),E > F > K > H > F > I > H > C,1
OLS,Window(ed),F > C > J > O > D > J > L > L > N > N,2
OLS,Window(ed),F > F > N > F > K > E > B,1
OLS,Window(ed),F > K > B > N,2
OLS,Window(ed),G > D > F > F > N > M,3
OLS,Window(ed),G > I > O > L > N > H > E,2
OLS,Window(ed),G > N > G > J > N > I,1
OLS,Window(ed),H > E > B > E > I > E > B > A > O > N,1
OLS,Window(ed),H > I > D > E > C > M > B,1
OLS,Window(ed),H > O > A > B > B,1
OLS,Window(ed),I > D > B > B > B > E > F > I,1
OLS,Window(ed),I > F > D > F > B > B > N > J > A,3
OLS,Window(ed),J > C > B > E,1
OLS,Window(ed),J > C > C > C > N > A,2
OLS,Window(ed),J > I > J > B,1
OLS,Window(ed),K > B > B > E > M > E > H > B > I > L,3
OLS,Window(ed),K > C > D > F > F > L > G > K > A > G,1
OLS,Window(ed),K > D > O,1
OLS,Window(ed),K > I > J > O > N > F > K > H > F > H,1
OLS,Window(ed),K > M > D > O > D > K > G > G,1
OLS,Window(ed),K > M > G > N > D > N > N > N,1
OLS,Window(ed),L > B > D > B > N,1
OLS,Window(ed),L > D > D > I > C > C > O > O,1
OLS,Window(ed),L > F > D > B > M > F > K > G > J > E,2
OLS,Window(ed),L > G > N > L > C > A > A > B > H,2
OLS,Window(ed),L > J > N > L,1
OLS,Window(ed),M > A > O > I > I > N > D,2
OLS,Window(ed),M > H > H > H > O > A > I > L > B > C,1
OLS,Window(ed),M > J > E > N > L > H,2
OLS,Window(ed),M > J > N > M > E > C > B,1
OLS,Window(ed),M > K > D > A > O,1
OLS,Window(ed),N > C > F,2
OLS,Window(ed),N > G > E > E > E > C > I > K,3
OLS,Window(ed),N > G > F,1
OLS,Window(ed),N > M > D > J > N > C > L,3
OLS,Window(ed),N > N > E > O > E > D,1
OLS,Window(ed),O > J > A > K > L > H > K,1
OLS,Window(ed),O > K > B > J > M,1
OLS,Window(ed),O > O > M > O,1
Other,Head of Household,A > A > E > L > E > C > B > M > C > O,8
Other,Head of Household,A > A > J > I > O > G,13
Other,Head of Household,A > L > B,21
Other,Head of Household,A > L > G > L > J > J > H,13
Other,Head of Household,A > M > E > N > L,15
Other,Head of Household,A > M > H > I > C > B > N,9
Other,Head of Household,B > B > C > C > N > J > F > I,14
Other,Head of Household,B > C > D > C,6
Other,Head of Household,B > C > O > F > K > A > F,12
Other,Head of Household,B > H > L > A > K > K > F,9
Other,Head of Household,B > H > M > A > G > O > M > F > C,8
Other,Head of Household,B > K > L > K > H,18
Other,Head of Household,B > O > F > H > D > A > F,12
Other,Head of Household,C > F > L > B > E > A > N > F > J,8
Other,Head of Household,C > J > A > E > K > A > J,8
Other,Head of Household,C > J > J > A > A > I > K,5
Other,Head of Household,C > J > K > M > A > M > A,10
Other,Head of Household,C > K > C > M > H,9
Other,Head of Household,C > K > D > D > G,10
Other,Head of Household,C > L > G > I > D > M > A > H,11
Other,Head of Household,C > N > M,17
Other,Head of Household,D > A > A > D > K > D,12
Other,Head of Household,D > A > H > C > J > G > H > B > J > G,12
Other,Head of Household,D > C > I > N > L > O > A,9
Other,Head of Household,D > D > K > K > N > B > D,13
Other,Head of Household,D > E > B > F > G > C > E,8
Other,Head of Household,D > H > C > M > F,7
Other,Head of Household,D > I > G > M > O > A > F > B,9
Other,Head of Household,D > J > C,16
Other,Head of Household,D > L > D > G > L,17
Other,Head of Household,D > L > H > F > L > H > A > G > C,12
Other,Head of Household,E > A > L,14
Other,Head of Household,E > B > N,14
Other,Head of Household,E > C > C > E > C > J,15
Other,Head of Household,E > E > F > I > C > M > O,12
Other,Head of Household,E > E > N,9
Other,Head of Household,E > F > K > H > F > I > H > C,10
Other,Head of Household,E > J > L > E > G > I > L > F,12
Other,Head of Household,E > N > C > O > N > G > O > I > M,18
Other,Head of Household,F > C > J > O > D > J > L > L > N > N,8
Other,Head of Household,F > F > N > F > K > E > B,15
Other,Head of Household,F > K > B > N,16
Other,Head of Household,G > D > F > F > N > M,19
Other,Head of Household,G > I > O > L > N > H > E,8
Other,Head of Household,G > N > G > J > N > I,11
Other,Head of Household,H > B > I > L > K > K > J > M > I,12
Other,Head of Household,H > C > H > K,14
Other,Head of Household,H > E > B > E > I > E > B > A > O > N,17
Other,Head of Household,H > I > D > E > C > M > B,9
Other,Head of Household,H > I > E > J > I,15
Other,Head of Household,H > K > E,10
Other,Head of Household,H > O > A > B > B,20
Other,Head of Household,I > B > J > J > G > N > O > G > D > F,14
Other,Head of Household,I > D > B > B > B > E > F > I,9
Other,Head of Household,I > D > K > J > C,12
Other,Head of Household,I > D > M,10
Other,Head of Household,I > F > D > F > B > B > N > J > A,9
Other,Head of Household,I > G > H > I > B > E > F > K > A,8
Other,Head of Household,I > M > I > A > H > D > B,14
Other,Head of Household,J > C > B > E,9
Other,Head of Household,J > C > C > C > N > A,17
Other,Head of Household,J > H > O > L > B > I > L > K,11
Other,Head of Household,J > I > J > B,9
Other,Head of Household,J > K > B > H,14
Other,Head of Household,J > L > A > A > O > O > L,12
Other,Head of Household,K > B > B > E > M > E > H > B > I > L,8
Other,Head of Household,K > B > G > M,9
Other,Head of Household,K > C > D > F > F > L > G > K > A > G,6
Other,Head of Household,K > D > O,8
Other,Head of Household,K > E > E > E > N,6
Other,Head of Household,K > F > F > G > O > A > F > F,15
Other,Head of Household,K > I > J > O > N > F > K > H > F > H,6
Other,Head of Household,K > M > D > O > D > K > G > G,13
Other,Head of Household,K > M > G > N > D > N > N > N,9
Other,Head of Household,L > B > D > B > N,8
Other,Head of Household,L > D > D > I > C > C > O > O,12
Other,Head of Household,L > F > D > B > M > F > K > G > J > E,18
Other,Head of Household,L > G > N > L > C > A > A > B > H,17
Other,Head of Household,L > J > N > L,10
Other,Head of Household,L > L > L > G > E,13
Other,Head of Household,M > A > O > I > I > N > D,12
Other,Head of Household,M > H > H > H > O > A > I > L > B > C,15
Other,Head of Household,M > J > E > N > L > H,10
Other,Head of Household,M > J > N > M > E > C > B,16
Other,Head of Household,M > K > D > A > O,6
Other,Head of Household,M > L > B > C > E > E > L > D > C,17
Other,Head of Household,N > C > F,7
Other,Head of Household,N > G > E > E > E > C > I > K,14
Other,Head of Household,N > G > F,15
Other,Head of Household,N > K > H > O,10
Other,Head of Household,N > L > A,11
Other,Head of Household,N > M > D > J > N > C > L,12
Other,Head of Household,N > M > K > L > K,14
Other,Head of Household,N > N > E > O > E > D,9
Other,Head of Household,N > O > B > D > I > D > A > O > B > A,12
Other,Head of Household,O > C > M > J > I > I > L > K > B > A,16
Other,Head of Household,O > G > M > D > O,11
Other,Head of Household,O > J > A > K > L > H > K,16
Other,Head of Household,O > K > B > J > M,11
Other,Head of Household,O > O > M > O,12
Other,Joint,A > A > E > L > E > C > B > M > C > O,6
Other,Joint,A > A > J > I > O > G,6
Other,Joint,A > L > B,12
Other,Joint,A > L > G > L > J > J > H,6
Other,Joint,A > M > E > N > L,8
Other,Joint,A > M > H > I > C > B > N,8
Other,Joint,B > B > C > C > N > J > F > I,3
Other,Joint,B > C > D > C,13
Other,Joint,B > C > O > F > K > A > F,4
Other,Joint,B > H > L > A > K > K > F,12
Other,Joint,B > H > M > A > G > O > M > F > C,8
Other,Joint,B > K > L > K > H,10
Other,Joint,B > O > F > H > D > A > F,6
Other,Joint,C > F > L > B > E > A > N > F > J,14
Other,Joint,C > J > A > E > K > A > J,5
Other,Joint,C > J > J > A > A > I > K,7
Other,Joint,C > J > K > M > A > M > A,11
Other,Joint,C > K > C > M > H,4
Other,Joint,C > K > D > D > G,6
Other,Joint,C > L > G > I > D > M > A > H,9
Other,Joint,C > N > M,10
Other,Joint,D > A > A > D > K > D,9
Other,Joint,D > A > H > C > J > G > H > B > J > G,10
Other,Joint,D > C > I > N > L > O > A,14
Other,Joint,D > D > K > K > N > B > D,6
Other,Joint,D > E > B > F > G > C > E,11
Other,Joint,D > H > C > M > F,14
Other,Joint,D > I > G > M > O > A > F > B,9
Other,Joint,D > J > C,13
Other,Joint,D > L > D > G > L,11
Other,Joint,D > L > H > F > L > H > A > G > C,9
Other,Joint,E > A > L,6
Other,Joint,E > B > N,11
Other,Joint,E > C > C > E > C > J,10
Other,Joint,E > E > F > I > C > M > O,9
Other,Joint,E > E > N,5
Other,Joint,E > F > K > H > F > I > H > C,10
Other,Joint,E > J > L > E > G > I > L > F,10
Other,Joint,E > N > C > O > N > G > O > I > M,6
Other,Joint,F > C > J > O > D > J > L > L > N > N,11
Other,Joint,F > F > N > F > K > E > B,6
Other,Joint,F > K > B > N,6
Other,Joint,G > D > F > F > N > M,8
Other,Joint,G > I > O > L > N > H > E,7
Other,Joint,G > N > G > J > N > I,7
Other,Joint,H > B > I > L > K > K > J > M > I,11
Other,Joint,H > C > H > K,7
Other,Joint,H > E > B > E > I > E > B > A > O > N,7
Other,Joint,H > I > D > E > C > M > B,2
Other,Joint,H > I > E > J > I,7
Other,Joint,H > K > E,14
Other,Joint,H > O > A > B > B,15
Other,Joint,I > B > J > J > G > N > O > G > D > F,8
Other,Joint,I > D > B > B > B > E > F > I,7
Other,Joint,I > D > K > J > C,11
Other,Joint,I > D > M,9
Other,Joint,I > F > D > F > B > B > N > J > A,9
Other,Joint,I > G > H > I > B > E > F > K > A,5
Other,Joint,I > M > I > A > H > D > B,10
Other,Joint,J > C > B > E,3
Other,Joint,J > C > C > C > N > A,7
Other,Joint,J > H > O > L > B > I > L > K,10
Other,Joint,J > I > J > B,8
Other,Joint,J > K > B > H,5
Other,Joint,J > L > A > A > O > O > L,4
Other,Joint,K > B > B > E > M > E > H > B > I > L,5
Other,Joint,K > B > G > M,8
Other,Joint,K > C > D > F > F > L > G > K > A > G,8
Other,Joint,K > D > O,8
Other,Joint,K > E > E > E > N,13
Other,Joint,K > F > F > G > O > A > F > F,4
Other,Joint,K > I > J > O > N > F > K > H > F > H,9
Other,Joint,K > M > D > O > D > K > G > G,9
Other,Joint,K > M > G > N > D > N > N > N,10
Other,Joint,L > B > D > B > N,6
Other,Joint,L > D > D > I > C > C > O > O,7
Other,Joint,L > F > D > B > M > F > K > G > J > E,13
Other,Joint,L > G > N > L > C > A > A > B > H,6
Other,Joint,L > J > N > L,9
Other,Joint,L > L > L > G > E,4
Other,Joint,M > A > O > I > I > N > D,7
Other,Joint,M > H > H > H > O > A > I > L > B > C,5
Other,Joint,M > J > E > N > L > H,7
Other,Joint,M > J > N > M > E > C > B,5
Other,Joint,M > K > D > A > O,11
Other,Joint,M > L > B > C > E > E > L > D > C,10
Other,Joint,N > C > F,7
Other,Joint,N > G > E > E > E > C > I > K,11
Other,Joint,N > G > F,4
Other,Joint,N > K > H > O,8
Other,Joint,N > L > A,3
Other,Joint,N > M > D > J > N > C > L,4
Other,Joint,N > M > K > L > K,12
Other,Joint,N > N > E > O > E > D,5
Other,Joint,N > O > B > D > I > D > A > O > B > A,7
Other,Joint,O > C > M > J > I > I > L > K > B > A,7
Other,Joint,O > G > M > D > O,7
Other,Joint,O > J > A > K > L > H > K,13
Other,Joint,O > K > B > J > M,8
Other,Joint,O > O > M > O,7
Other,Married/Separate,A > A > E > L > E > C > B > M > C > O,2
Other,Married/Separate,A > A > J > I > O > G,1
Other,Married/Separate,A > L > B,1
Other,Married/Separate,A > L > G > L > J > J > H,4
Other,Married/Separate,A > M > E > N > L,3
Other,Married/Separate,A > M > H > I > C > B > N,3
Other,Married/Separate,B > B > C > C > N > J > F > I,1
Other,Married/Separate,B > C > D > C,3
Other,Married/Separate,B > C > O > F > K > A > F,2
Other,Married/Separate,B > H > M > A > G > O > M > F > C,1
Other,Married/Separate,B > K > L > K > H,3
Other,Married/Separate,C > F > L > B > E > A > N > F > J,3
Other,Married/Separate,C > J > J > A > A > I > K,2
Other,Married/Separate,C > J > K > M > A > M > A,2
Other,Married/Separate,C > K > D > D > G,3
Other,Married/Separate,C > N > M,2
Other,Married/Separate,D > A > A > D > K > D,2
Other,Married/Separate,D > A > H > C > J > G > H > B > J > G,1
Other,Married/Separate,D > C > I > N > L > O > A,3
Other,Married/Separate,D > D > K > K > N > B > D,1
Other,Married/Separate,D > E > B > F > G > C > E,5
Other,Married/Separate,D > H > C > M > F,2
Other,Married/Separate,D > I > G > M > O > A > F > B,4
Other,Married/Separate,D > J > C,1
Other,Married/Separate,D > L > D > G > L,1
Other,Married/Separate,D > L > H > F > L > H > A > G > C,3
Other,Married/Separate,E > A > L,4
Other,Married/Separate,E > B > N,2
Other,Married/Separate,E > C > C > E > C > J,2
Other,Married/Separate,E > E > F > I > C > M > O,1
Other,Married/Separate,E > E > N,2
Other,Married/Separate,E > F > K > H > F > I > H > C,1
Other,Married/Separate,E > J > L > E > G > I > L > F,2
Other,Married/Separate,E > N > C > O > N > G > O > I > M,2
Other,Married/Separate,F > F > N > F > K > E > B,1
Other,Married/Separate,F > K > B > N,3
Other,Married/Separate,G > D > F > F > N > M,2
Other,Married/Separate,G > I > O > L > N > H > E,4
Other,Married/Separate,G > N > G > J > N > I,2
Other,Married/Separate,H > B > I > L > K > K > J > M > I,4
Other,Married/Separate,H > E > B > E > I > E > B > A > O > N,1
Other,Married/Separate,H > I > D > E > C > M > B,3
Other,Married/Separate,H > K > E,1
Other,Married/Separate,I > B > J > J > G > N > O > G > D > F,1
Other,Married/Separate,I > D > B > B > B > E > F > I,1
Other,Married/Separate,I > D > M,1
Other,Married/Separate,I > F > D > F > B > B > N > J > A,1
Other,Married/Separate,I > G > H > I > B > E > F > K > A,1
Other,Married/Separate,I > M > I > A > H > D > B,1
Other,Married/Separate,J > C > B > E,3
Other,Married/Separate,J > C > C > C > N > A,2
Other,Married/Separate,J > H > O > L > B > I > L > K,2
Other,Married/Separate,J > I > J > B,5
Other,Married/Separate,J > K > B > H,1
Other,Married/Separate,J > L > A > A > O > O > L,2
Other,Married/Separate,K > B > B > E > M > E > H > B > I > L,1
Other,Married/Separate,K > B > G > M,1
Other,Married/Separate,K > C > D > F > F > L > G > K > A > G,1
Other,Married/Separate,K > E > E > E > N,2
Other,Married/Separate,K > F > F > G > O > A > F > F,1
Other,Married/Separate,K > M > G > N > D > N > N > N,1
Other,Married/Separate,L > B > D > B > N,2
Other,Married/Separate,L > F > D > B > M > F > K > G > J > E,3
Other,Married/Separate,L > G > N > L > C > A > A > B > H,2
Other,Married/Separate,L > J > N > L,3
Other,Married/Separate,L > L > L > G > E,6
Other,Married/Separate,M > A > O > I > I > N > D,4
Other,Married/Separate,M > H > H > H > O > A > I > L > B > C,2
Other,Married/Separate,M > J > E > N > L > H,1
Other,Married/Separate,M > J > N > M > E > C > B,2
Other,Married/Separate,M > K > D > A > O,4
Other,Married/Separate,M > L > B > C > E > E > L > D > C,1
Other,Married/Separate,N > C > F,2
Other,Married/Separate,N > G > E > E > E > C > I > K,2
Other,Married/Separate,N > G > F,2
Other,Married/Separate,N > K > H > O,2
Other,Married/Separate,N > L > A,2
Other,Married/Separate,N > M > D > J > N > C > L,3
Other,Married/Separate,N > N > E > O > E > D,2
Other,Married/Separate,N > O > B > D > I > D > A > O > B > A,1
Other,Married/Separate,O > G > M > D > O,3
Other,Married/Separate,O > J > A > K > L > H > K,3
Other,Married/Separate,O > K > B > J > M,1
Other,Married/Separate,O > O > M > O,5
Other,Single,A > A > E > L > E > C > B > M > C > O,13
